description,id,name,prefix
,1159079261,admin_1r,SIJ
,1159079259,hasc_id,SIJ
,1159079897,eng_x_preferred,abbreviation
"The colloquial, informal abbreviation for a place.",1158844675,{lang}_x_colloquial,abrv
,1159079245,eng_x_preferred,abrv
The historical abbreviation for a place.,1158844669,{lang}_x_historical,abrv
The preferred abbreviation for a place.,1158844673,{lang}_x_preferred,abrv
An unclassified abbreviation used for a place.,1158844677,{lang}_x_unknown,abrv
An uncommon variant abbreviation used for a place.,1158844667,{lang}_x_variant,abrv
,1159080439,api,acgov
,1159080437,type,acgov
,1159080447,elev,acme
,1159080445,site_id,acme
,1158808009,city,addr
,1158808003,conscriptionnumber,addr
,1158808011,country,addr
,1158808019,district,addr
,1159080481,email,addr
,1158808035,facebook,addr
,1158808043,flats,addr
,1158808013,full,addr
,1158808037,github,addr
,1158808015,hamlet,addr
,1158808001,housename,addr
,1158808007,housenumber,addr
,1158808049,instagram,addr
,1159080359,intersection,addr
,1159080361,notes,addr
,1159080483,opentable,addr
,1159080357,phon,addr
,1158808029,phone,addr
,1158808047,place,addr
,1159080485,postal,addr
,1158808045,postalcode,addr
,1159080351,postcode,addr
,1158808025,province,addr
,1158808027,state,addr
,1158807999,street,addr
,1158808021,subdistrict,addr
,1158808017,suburb,addr
,1158808033,twitter,addr
,1159080451,url,addr
,1158808031,website,addr
,1159080479,yelp,addr
,1158808039,youtube,addr
,1159079611,DOCDATUM,amsgis
,1159079663,DOCNR,amsgis
,1159079617,INGSDATUM,amsgis
,1159079659,VOLLCODE,amsgis
,1159079735,_categories,amsgis
,1159079613,_id,amsgis
,1159079637,categorie,amsgis
,1159080081,CODE,amsgis
,1159080079,display,amsgis
,1159079681,externe_id,amsgis
,1159080073,NAAM,amsgis
,1159079665,online_tijdsaspect,amsgis
,1159079689,titel,amsgis
,1159079635,titel_key,amsgis
,1159079645,type,amsgis
,1159080083,type_2,amsgis
,1159080077,uri,amsgis
,1159080223,bez_name,atgov
,1159080221,bez_nr,atgov
,1159080217,gem_name,atgov
,1159080225,gkz,atgov
,1159079725,FID_TXT,atldpcd
,1159079749,GLOBALID,atldpcd
,1159079687,NAME,atldpcd
,1159079727,NPU,atldpcd
,1159079745,OBJECTID,atldpcd
,1159079729,OLD_NAME,atldpcd
,1159080229,POA_CODE,ausstat
,1159080231,POA_NAME,ausstat
,1159080227,SQKM,ausstat
,1159080105,bez_name,austriaod
,1159080113,bez_nr,austriaod
,1159080117,gem_name,austriaod
,1159080109,gem_nr,austriaod
,1159080119,land_name,austriaod
,1159080115,land_nr,austriaod
